[2025-06-01 17:22:26,753][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:25:54,792][DEBUG][MCPVectorOps] Creating MCPVectorOpsServer instance
[2025-06-01 17:25:54,792][DEBUG][MCPVectorOps] Using selector: EpollSelector
[2025-06-01 17:26:44,673][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:26:44,678][DEBUG][MCPVectorOps] Initializing server 'MCPVectorOpsServer'
[2025-06-01 17:26:44,678][DEBUG][MCPVectorOps] Registering handler for ListToolsRequest
[2025-06-01 17:26:44,678][DEBUG][MCPVectorOps] Registering handler for CallToolRequest
[2025-06-01 17:26:44,678][DEBUG][MCPVectorOps] Registering handler for ListResourcesRequest
[2025-06-01 17:26:44,678][DEBUG][MCPVectorOps] Registering handler for ReadResourceRequest
[2025-06-01 17:26:44,678][DEBUG][MCPVectorOps] Registering handler for PromptListRequest
[2025-06-01 17:26:44,678][DEBUG][MCPVectorOps] Registering handler for GetPromptRequest
[2025-06-01 17:26:44,678][DEBUG][MCPVectorOps] Registering handler for ListResourceTemplatesRequest
[2025-06-01 17:26:44,684][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:26:44,684][DEBUG][MCPVectorOps] Creating MCPVectorOpsServer instance
[2025-06-01 17:26:44,684][DEBUG][MCPVectorOps] Using selector: EpollSelector
[2025-06-01 17:26:44,693][DEBUG][MCPVectorOps] Received message: root=InitializedNotification(method='notifications/initialized', params=None, jsonrpc='2.0')
[2025-06-01 17:26:44,694][DEBUG][MCPVectorOps] Received message: <mcp.shared.session.RequestResponder object at 0x75a47ba6a210>
[2025-06-01 17:26:44,694][INFO][MCPVectorOps] Processing request of type CallToolRequest
[2025-06-01 17:26:44,694][DEBUG][MCPVectorOps] Dispatching request of type CallToolRequest
[2025-06-01 17:26:44,695][DEBUG][MCPVectorOps] Response sent
[2025-06-01 17:27:38,877][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:27:38,881][DEBUG][MCPVectorOps] Initializing server 'MCPVectorOpsServer'
[2025-06-01 17:27:38,882][DEBUG][MCPVectorOps] Registering handler for ListToolsRequest
[2025-06-01 17:27:38,882][DEBUG][MCPVectorOps] Registering handler for CallToolRequest
[2025-06-01 17:27:38,882][DEBUG][MCPVectorOps] Registering handler for ListResourcesRequest
[2025-06-01 17:27:38,882][DEBUG][MCPVectorOps] Registering handler for ReadResourceRequest
[2025-06-01 17:27:38,882][DEBUG][MCPVectorOps] Registering handler for PromptListRequest
[2025-06-01 17:27:38,882][DEBUG][MCPVectorOps] Registering handler for GetPromptRequest
[2025-06-01 17:27:38,882][DEBUG][MCPVectorOps] Registering handler for ListResourceTemplatesRequest
[2025-06-01 17:27:38,889][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:27:38,889][DEBUG][MCPVectorOps] Creating MCPVectorOpsServer instance
[2025-06-01 17:27:38,889][DEBUG][MCPVectorOps] Using selector: EpollSelector
[2025-06-01 17:27:38,897][DEBUG][MCPVectorOps] Received message: root=InitializedNotification(method='notifications/initialized', params=None, jsonrpc='2.0')
[2025-06-01 17:27:38,898][DEBUG][MCPVectorOps] Received message: <mcp.shared.session.RequestResponder object at 0x7909a7f66210>
[2025-06-01 17:27:38,898][INFO][MCPVectorOps] Processing request of type CallToolRequest
[2025-06-01 17:27:38,898][DEBUG][MCPVectorOps] Dispatching request of type CallToolRequest
[2025-06-01 17:27:38,898][DEBUG][MCPVectorOps] Received vector_ops request: {
  "operation": "cluster",
  "security_id": "MN0LNDB68390",
  "query_vector": null,
  "query_vectors": null,
  "k": 5,
  "n_clusters": 5
}
[2025-06-01 17:27:38,943][DEBUG][MCPVectorOps] Response sent
[2025-06-01 17:28:26,332][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:28:26,336][DEBUG][MCPVectorOps] Initializing server 'MCPVectorOpsServer'
[2025-06-01 17:28:26,336][DEBUG][MCPVectorOps] Registering handler for ListToolsRequest
[2025-06-01 17:28:26,336][DEBUG][MCPVectorOps] Registering handler for CallToolRequest
[2025-06-01 17:28:26,336][DEBUG][MCPVectorOps] Registering handler for ListResourcesRequest
[2025-06-01 17:28:26,336][DEBUG][MCPVectorOps] Registering handler for ReadResourceRequest
[2025-06-01 17:28:26,336][DEBUG][MCPVectorOps] Registering handler for PromptListRequest
[2025-06-01 17:28:26,336][DEBUG][MCPVectorOps] Registering handler for GetPromptRequest
[2025-06-01 17:28:26,336][DEBUG][MCPVectorOps] Registering handler for ListResourceTemplatesRequest
[2025-06-01 17:28:26,343][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:28:26,343][DEBUG][MCPVectorOps] Creating MCPVectorOpsServer instance
[2025-06-01 17:28:26,343][DEBUG][MCPVectorOps] Using selector: EpollSelector
[2025-06-01 17:28:26,352][DEBUG][MCPVectorOps] Received message: root=InitializedNotification(method='notifications/initialized', params=None, jsonrpc='2.0')
[2025-06-01 17:28:26,352][DEBUG][MCPVectorOps] Received message: <mcp.shared.session.RequestResponder object at 0x71b90106a210>
[2025-06-01 17:28:26,352][INFO][MCPVectorOps] Processing request of type CallToolRequest
[2025-06-01 17:28:26,352][DEBUG][MCPVectorOps] Dispatching request of type CallToolRequest
[2025-06-01 17:28:26,353][DEBUG][MCPVectorOps] Received vector_ops request: {
  "operation": "search_similar",
  "security_id": "MN0LNDB68390",
  "query_vector": [
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1
  ],
  "query_vectors": null,
  "k": 3,
  "n_clusters": 10
}
[2025-06-01 17:28:26,354][ERROR][MCPVectorOps] Vector ops error for security MN0LNDB68390 with operation search_similar: 
Traceback (most recent call last):
  File "/home/me/CascadeProjects/Alpy/subagents/financial_analyst/mcp_servers/mcp_vector_ops/server.py", line 150, in vector_ops
    result = search_similar(index, input_data.query_vector, input_data.k)
  File "/home/me/CascadeProjects/Alpy/subagents/financial_analyst/mcp_servers/mcp_vector_ops/server.py", line 82, in search_similar
    distances, indices = index.search(query, k)
                         ~~~~~~~~~~~~^^^^^^^^^^
  File "/home/me/.pyenv/versions/alpy_env/lib/python3.13/site-packages/faiss/class_wrappers.py", line 329, in replacement_search
    assert d == self.d
           ^^^^^^^^^^^
AssertionError
[2025-06-01 17:28:26,362][DEBUG][MCPVectorOps] Response sent
[2025-06-01 17:29:05,037][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:29:05,041][DEBUG][MCPVectorOps] Initializing server 'MCPVectorOpsServer'
[2025-06-01 17:29:05,041][DEBUG][MCPVectorOps] Registering handler for ListToolsRequest
[2025-06-01 17:29:05,041][DEBUG][MCPVectorOps] Registering handler for CallToolRequest
[2025-06-01 17:29:05,041][DEBUG][MCPVectorOps] Registering handler for ListResourcesRequest
[2025-06-01 17:29:05,041][DEBUG][MCPVectorOps] Registering handler for ReadResourceRequest
[2025-06-01 17:29:05,041][DEBUG][MCPVectorOps] Registering handler for PromptListRequest
[2025-06-01 17:29:05,041][DEBUG][MCPVectorOps] Registering handler for GetPromptRequest
[2025-06-01 17:29:05,042][DEBUG][MCPVectorOps] Registering handler for ListResourceTemplatesRequest
[2025-06-01 17:29:05,048][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:29:05,048][DEBUG][MCPVectorOps] Creating MCPVectorOpsServer instance
[2025-06-01 17:29:05,048][DEBUG][MCPVectorOps] Using selector: EpollSelector
[2025-06-01 17:29:05,057][DEBUG][MCPVectorOps] Received message: root=InitializedNotification(method='notifications/initialized', params=None, jsonrpc='2.0')
[2025-06-01 17:29:05,058][DEBUG][MCPVectorOps] Received message: <mcp.shared.session.RequestResponder object at 0x7ec480a6e210>
[2025-06-01 17:29:05,058][INFO][MCPVectorOps] Processing request of type CallToolRequest
[2025-06-01 17:29:05,058][DEBUG][MCPVectorOps] Dispatching request of type CallToolRequest
[2025-06-01 17:29:05,058][DEBUG][MCPVectorOps] Received vector_ops request: {
  "operation": "search_similar",
  "security_id": "MN0LNDB68390",
  "query_vector": [
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1
  ],
  "query_vectors": null,
  "k": 3,
  "n_clusters": 10
}
[2025-06-01 17:29:05,059][DEBUG][MCPVectorOps] Loaded FAISS index for MN0LNDB68390. Index dimension (index.d): 1408, Total vectors (index.ntotal): 158
[2025-06-01 17:29:05,060][ERROR][MCPVectorOps] Vector ops error for security MN0LNDB68390 with operation search_similar: AssertionError()
Traceback (most recent call last):
  File "/home/me/CascadeProjects/Alpy/subagents/financial_analyst/mcp_servers/mcp_vector_ops/server.py", line 151, in vector_ops
    result = search_similar(index, input_data.query_vector, input_data.k)
  File "/home/me/CascadeProjects/Alpy/subagents/financial_analyst/mcp_servers/mcp_vector_ops/server.py", line 83, in search_similar
    distances, indices = index.search(query, k)
                         ~~~~~~~~~~~~^^^^^^^^^^
  File "/home/me/.pyenv/versions/alpy_env/lib/python3.13/site-packages/faiss/class_wrappers.py", line 329, in replacement_search
    assert d == self.d
           ^^^^^^^^^^^
AssertionError
[2025-06-01 17:29:05,061][DEBUG][MCPVectorOps] Response sent
[2025-06-01 17:30:28,381][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:30:28,385][DEBUG][MCPVectorOps] Initializing server 'MCPVectorOpsServer'
[2025-06-01 17:30:28,385][DEBUG][MCPVectorOps] Registering handler for ListToolsRequest
[2025-06-01 17:30:28,385][DEBUG][MCPVectorOps] Registering handler for CallToolRequest
[2025-06-01 17:30:28,385][DEBUG][MCPVectorOps] Registering handler for ListResourcesRequest
[2025-06-01 17:30:28,385][DEBUG][MCPVectorOps] Registering handler for ReadResourceRequest
[2025-06-01 17:30:28,385][DEBUG][MCPVectorOps] Registering handler for PromptListRequest
[2025-06-01 17:30:28,385][DEBUG][MCPVectorOps] Registering handler for GetPromptRequest
[2025-06-01 17:30:28,385][DEBUG][MCPVectorOps] Registering handler for ListResourceTemplatesRequest
[2025-06-01 17:30:28,392][INFO][MCPVectorOps] Starting MCP Vector Ops server
[2025-06-01 17:30:28,392][DEBUG][MCPVectorOps] Creating MCPVectorOpsServer instance
[2025-06-01 17:30:28,392][DEBUG][MCPVectorOps] Using selector: EpollSelector
[2025-06-01 17:30:28,402][DEBUG][MCPVectorOps] Received message: root=InitializedNotification(method='notifications/initialized', params=None, jsonrpc='2.0')
[2025-06-01 17:30:28,403][DEBUG][MCPVectorOps] Received message: <mcp.shared.session.RequestResponder object at 0x7d2460f66210>
[2025-06-01 17:30:28,403][INFO][MCPVectorOps] Processing request of type CallToolRequest
[2025-06-01 17:30:28,403][DEBUG][MCPVectorOps] Dispatching request of type CallToolRequest
[2025-06-01 17:30:28,403][DEBUG][MCPVectorOps] Received vector_ops request: {
  "operation": "search_similar",
  "security_id": "MN0LNDB68390",
  "query_vector": [
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
    0.1,
